time,position,velocity,energy
0,100,100,10000
0.5,132.546,30.3608,9245.06
1,134.333,-21.2613,9248.73
1.5,115.529,-51.2098,7984.75
2,86.3378,-62.7158,5693.75
2.5,54.3942,-62.4709,3430.67
3,23.9198,-57.1635,1919.91
3.5,-3.62968,-51.0424,1309.25
4,-28.0894,-45.0505,1409.28
4.5,-49.0742,-37.4887,1906.84
5,-65.0755,-25.6935,2447.49
5.5,-73.4811,-7.96469,2731.45
6,-71.4455,15.0094,2664.87
6.5,-57.2192,39.7359,2426.49
7,-31.386,60.6475,2331.6
7.5,2.50806,71.723,2575.24
8,38.2482,68.4634,3075.08
8.5,68.175,49.576,3552.8
9,85.0424,17.8106,3774.71
9.5,83.9977,-20.3559,3734.99
10,64.1037,-56.1504,3631.07
10.5,28.9298,-80.689,3673.82
11,-14.0157,-87.3308,3911.55
11.5,-54.929,-73.5541,4213.7
12,-84.044,-41.8255,4406.38
12.5,-94.0706,0.804985,4424.97
13,-82.1057,44.3165,4352.65
13.5,-50.5042,78.1471,4328.82
14,-6.45484,93.8316,4423.02
14.5,39.6669,87.1745,4586.43
15,76.7813,59.3918,4711.38
15.5,95.8145,16.9162,4733.29
16,91.9613,-30.1079,4681.68
16.5,65.9281,-70.278,4642.76
17,23.8315,-93.7333,4676.94
17.5,-24.2392,-94.6046,4768.78
18,-66.6537,-72.5008,4849.54
18.5,-93.0757,-32.6549,4864.71
19,-97.003,15.3189,4822.12
19.5,-77.3846,59.7563,4779.59
20,-38.9101,89.7943,4788.51
20.5,9.10898,98.042,4847.61
21,54.9962,82.4093,4907.94
21.5,87.5582,46.6416,4920.94
22,98.8246,-0.57659,4883.32
22.5,86.0079,-47.7347,4837.98
23,52.199,-83.3083,4832.5
23.5,5.62458,-98.582,4875.03
24,-42.3551,-89.7912,4928.21
24.5,-80.0201,-59.0529,4945.23
25,-98.1581,-13.8575,4913.52
25.5,-92.3214,34.7574,4865.66
26,-63.9213,74.9049,4848.34
26.5,-19.8884,96.7588,4878.91
27,29.0177,94.9611,4929.82
27.5,70.8389,69.9378,4954.72
28,95.344,27.7993,4931.64
28.5,96.5336,-21.1518,4883.06
29,74.1105,-64.9404,4854.81
29.5,33.5554,-92.8496,4873.51
30,-15.2125,-98.0451,4922.13
30.5,-60.2615,-79.2499,4956
31,-90.5675,-41.0586,4944.14
31.5,-98.7121,7.18516,4897.85
32,-82.7,53.6751,4860.15
32.5,-46.4479,87.0319,4865.98
33,1.17289,99.0893,4910.03
33.5,48.5073,86.8937,4951.74
34,83.9694,53.4283,4952.72
34.5,98.8784,6.88328,4912.16
35,89.584,-41.3483,4867.48
35.5,58.3606,-79.4596,4859.9
36,12.8511,-98.1204,4896.38
36.5,-35.8043,-92.7617,4943.35
37,-75.6948,-64.6945,4957.54
37.5,-97.0547,-20.7892,4925.9
38,-94.6547,28.2061,4877.55
38.5,-69.0823,70.2965,4856.98
39,-26.5976,95.1777,4883.11
39.5,22.3984,96.7577,4931.88
40,65.9107,74.6497,4958.4
40.5,93.2866,34.2656,4938.26
41,97.8237,-14.5075,4889.97
41.5,78.4112,-59.729,4857.94
42,39.8019,-90.3273,4871.61
42.5,-8.55193,-98.8112,4918.4
43,-54.8118,-83.1034,4955.26
43.5,-87.6521,-47.0496,4948.27
44,-99.0325,0.52342,4903.85
44.5,-86.1668,47.9682,4862.84
45,-52.2049,83.669,4862.93
45.5,-5.46175,98.885,4904.03
46,42.6185,89.8908,4948.35
46.5,80.2643,58.8886,4955.11
47,98.2588,13.4685,4918.09
47.5,92.1963,-35.2491,4871.32
48,63.5611,-75.3365,4857.8
48.5,19.3642,-96.979,4889.95
